,dataset,cleaned,round,model,testAccuracy
292,COX2,yes,10,Mix,0.625
293,COX2,yes,10,GCN-A,0.7333333333333333
294,COX2,yes,10,GCN-B,0.7708333333333334
295,COX2,yes,11,DK,0.5833333333333334
296,COX2,yes,11,uGCN,0.6875
297,COX2,yes,11,Mix,0.6666666666666666
298,COX2,yes,11,GCN-A,0.7791666666666666
299,COX2,yes,11,GCN-B,0.8333333333333334
300,COX2,no,0,DK,0.7659574468085106
301,COX2,no,0,uGCN,0.7978723404255319
302,COX2,no,0,Mix,0.8085106382978723
303,COX2,no,0,GCN-A,0.8074468085106382
304,COX2,no,0,GCN-B,0.8617021276595744
305,COX2,no,1,DK,0.7446808510638298
306,COX2,no,1,uGCN,0.776595744680851
307,COX2,no,1,Mix,0.776595744680851
308,COX2,no,1,GCN-A,0.8404255319148938
309,COX2,no,1,GCN-B,0.851063829787234
310,COX2,no,2,DK,0.7021276595744681
311,COX2,no,2,uGCN,0.8404255319148937
312,COX2,no,2,Mix,0.8191489361702128
313,COX2,no,2,GCN-A,0.8563829787234043
314,COX2,no,2,GCN-B,0.8723404255319149
315,COX2,no,3,DK,0.7659574468085106
316,COX2,no,3,uGCN,0.7446808510638298
317,COX2,no,3,Mix,0.7446808510638298
318,COX2,no,3,GCN-A,0.8148936170212766
319,COX2,no,3,GCN-B,0.8297872340425532
320,COX2,no,4,DK,0.7553191489361702
321,COX2,no,4,uGCN,0.723404255319149
322,COX2,no,4,Mix,0.723404255319149
323,COX2,no,4,GCN-A,0.7776595744680851
324,COX2,no,4,GCN-B,0.8191489361702128
325,COX2,no,5,DK,0.7446808510638298
326,COX2,no,5,uGCN,0.7872340425531915
327,COX2,no,5,Mix,0.8191489361702128
328,COX2,no,5,GCN-A,0.8212765957446809
329,COX2,no,5,GCN-B,0.8404255319148937
330,COX2,no,6,DK,0.7978723404255319
331,COX2,no,6,uGCN,0.7872340425531915
332,COX2,no,6,Mix,0.7978723404255319
333,COX2,no,6,GCN-A,0.8808510638297873
334,COX2,no,6,GCN-B,0.9042553191489362
335,COX2,no,7,DK,0.7446808510638298
336,COX2,no,7,uGCN,0.8617021276595744
337,COX2,no,7,Mix,0.851063829787234
338,COX2,no,7,GCN-A,0.85
339,COX2,no,7,GCN-B,0.8723404255319149
340,COX2,no,8,DK,0.723404255319149
341,COX2,no,8,uGCN,0.7978723404255319
342,COX2,no,8,Mix,0.7872340425531915
343,COX2,no,8,GCN-A,0.8308510638297871
344,COX2,no,8,GCN-B,0.851063829787234
345,COX2,no,9,DK,0.723404255319149
346,COX2,no,9,uGCN,0.7340425531914894
347,COX2,no,9,Mix,0.7340425531914894
348,COX2,no,9,GCN-A,0.8106382978723404
349,COX2,no,9,GCN-B,0.8404255319148937
350,COX2,no,10,DK,0.648936170212766
351,COX2,no,10,uGCN,0.6808510638297872
352,COX2,no,10,Mix,0.6808510638297872
353,COX2,no,10,GCN-A,0.7127659574468086
354,COX2,no,10,GCN-B,0.7553191489361702
355,COX2,no,11,DK,0.7659574468085106
356,COX2,no,11,uGCN,0.7659574468085106
357,COX2,no,11,Mix,0.7553191489361702
358,COX2,no,11,GCN-A,0.8138297872340425
359,COX2,no,11,GCN-B,0.851063829787234
360,DHFR,yes,0,DK,0.6637931034482759
361,DHFR,yes,0,uGCN,0.7068965517241379
362,DHFR,yes,0,Mix,0.7068965517241379
363,DHFR,yes,0,GCN-A,0.7112068965517242
364,DHFR,yes,0,GCN-B,0.75
365,DHFR,yes,1,DK,0.6810344827586207
366,DHFR,yes,1,uGCN,0.7413793103448276
367,DHFR,yes,1,Mix,0.7758620689655172
368,DHFR,yes,1,GCN-A,0.6922413793103448
369,DHFR,yes,1,GCN-B,0.7155172413793104
370,DHFR,yes,2,DK,0.6637931034482759
371,DHFR,yes,2,uGCN,0.7672413793103449
372,DHFR,yes,2,Mix,0.7758620689655172
373,DHFR,yes,2,GCN-A,0.6905172413793105
374,DHFR,yes,2,GCN-B,0.7413793103448276
375,DHFR,yes,3,DK,0.6724137931034483
376,DHFR,yes,3,uGCN,0.6896551724137931
377,DHFR,yes,3,Mix,0.6637931034482759
378,DHFR,yes,3,GCN-A,0.7336206896551725
379,DHFR,yes,3,GCN-B,0.8017241379310345
380,DHFR,yes,4,DK,0.6293103448275862
381,DHFR,yes,4,uGCN,0.7241379310344828
382,DHFR,yes,4,Mix,0.7327586206896551
383,DHFR,yes,4,GCN-A,0.7637931034482758
384,DHFR,yes,4,GCN-B,0.7931034482758621
385,DHFR,yes,5,DK,0.6810344827586207
386,DHFR,yes,5,uGCN,0.7068965517241379
387,DHFR,yes,5,Mix,0.6982758620689655
388,DHFR,yes,5,GCN-A,0.7068965517241379
389,DHFR,yes,5,GCN-B,0.7413793103448276
390,DHFR,yes,6,DK,0.646551724137931
391,DHFR,yes,6,uGCN,0.6896551724137931
